Family,Scientific name,FT,FG,P,Telugu name, L,Plant part,Stage,"Number 
of 
months",Score
Fabaceae,Chamaecrista pumila (Lam.) V.Singh,A,F,Y,"Chantauluva, Eradhaneyalu","S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Chrysopogon fulvus (Spreng.) Chiov.,P,G,Y,"Oopa, Sannaoopa","S, G, C",Above ground part,All stages (Young and dry),12,1
Fabaceae,Crotalaria evolvuloides Wight,P,F,Y,Alumu,"S, C",Above ground part,July to October,3,2
Fabaceae,Crotalaria hebecarpa (DC.) Rudd,A,F,Y,"Alumu, Bonta alumu, Teega alumu","S, G, C",Above ground part,All stages (Young and dry),12,1
Commelinaceae,Cyanotis tuberosa (Roxb.) Schult. & Schult.f.,P,F,N,Ariyaragadda,,,,,4
Asteraceae,Cyanthillium albicans (DC.) H.Rob.,A,F,Y,Jomdegadde,"S, G, C",Above ground part,All stages (Young and dry),12,1
Asteraceae,Cyanthillium cinereum (L.) H.Rob.,A,F,Y,Jomdegadde,"S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Cymbopogon caesius (Hook. & Arn.) Stapf,P,G,N,Boda,"S, G",Tender leaves,"March/April 10-15 days after fire or depending on the fire, after which lime taste/strong flavors develop and digestibility decreases.",0.5,3
Poaceae,Cymbopogon jwarancusa (Jones) Schult,P,G,N,Boda,"S, G",Tender leaves,"March/April 10-15 days after fire or depending on the fire, after which lime taste/strong flavors develop and digestibility decreases.",0.5,3
Poaceae,Cymbopogon martinii (Roxb.) J. F. Watson,P,G,N,Boda,"S, G",Tender leaves,"March/April 10-15 days after fire or depending on the fire, after which lime taste/strong flavors develop and digestibility decreases.",0.5,3
Poaceae,Eragrostiella bifaria (Vahl) Bor,P,G,Y,Sannaaakugaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Eragrostis tenella (L.) P.Beauv. ex Roem. & Schult.,A,G,Y,Sannaaakugaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Euphorbiaceae,Euphorbia deccanensis V.S.Raju,A,F,Y,Teegaaku,"S, G, C",Above ground part,All stages (Young and dry),12,1
Euphorbiaceae,Euphorbia rosea Retz.,A,F,Y,"Guduru alumu, Pala aaku, Teega alumu, Thema alumu","S, G, C",Above ground part,All stages (Young and dry),12,1
Convolvulaceae,Evolvulus alsinoides (L.) L.,P,F,Y,"Vishnukranti alumu, Neelampoolu teega, Teega alumu","S, G, C",Above ground part,All stages (Young and dry),12,1
Poaceae,Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.,P,G,Y,Ooppa,"S, C","Most prefered when blade and clum are young, not after seed setting","July to October, after that sharp seeds develop and less palatable",4,2
Malvaceae,Hibiscus lobatus (Murray) Kuntze,A,F,N,Naara,,,,,4
Violaceae,Hybanthus enneaspermus (L.) F. Muell.,P,F,Y,"Errapoovluaaku, Nela cobra",S,Leaves and tender shoots,July to October,4,2
Fabaceae,Indigofera glabra L.,A,F,Y,"Adavipeshara, Errapulu alumu","S, G, C",Leaves and tender shoots,All stages (Young and dry),12,1
Fabaceae,Indigofera linifolia (L.f.) Retz.,A,F,Y,"Adavipeshara, Errapulu alumu","S, G, C",Leaves and tender shoots,All stages (Young and dry),12,1
Acanthaceae,Justicia vahliana Schult.,A,F,Y,Katteaaku,"S, G, C",Above ground part,All stages (Young and dry),12,1
Acanthaceae,Lepidagathis cristata Willd.,P,F,Y,Nakkapentigadda,S,Leaves and tender shoots,"July to February, then the thorns harden",8,2
Lamiaceae,Leucas aspera (Willd.) Link,A,F,N,Thumme,,,,,4
Lamiaceae,Leucas zeylanica (L.) W.T.Aiton,A,F,N,Thumme,,,,,4
Rubiaceae,Mitracarpus hirtus (L.) DC.,A,F,Y,"Adavimadanakatti, Chenumadanakatti","S, G",Leaves and tender shoots,July to October,4,2
Rubiaceae,Oldenlandia umbellata L.,A,F,Y,"Aridhaniyalu, Erredhaniyalu","G, C",Leaves,When young (June/July to November),6,2
Orobanchaceae,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,A,F,Y,Uthugadde,"G, C",Leaves and tender shoots,"June to August, then develops a taste that goats don't like",3,2
Phyllanthaceae,Phyllanthus virgatus G.Forst.,A,F,Y,Uchi usiri,"S, G, C",Leaves and tender shoots,June to January/February then dries up and disappears,8,1
Caryophyllaceae,Polycarpaea corymbosa (L.) Lam.,A,F,Y,Rajumagaddi,G,Leaves and tender shoots,When young (July-October),4,2
Polygalaceae,Polygala javana DC.,A,F,Y,Nela janumu,G,Leaves,When young (July-October),4,2
Asteraceae,Pulicaria wightiana (DC.) C.B.Clarke,A,F,Y,Bairenipoolu,"S, G, C",Leaves and tender shoots,June to January/February then dries up and disappears,8,1
Fabaceae,Rhynchosia rufescens DC.,P,F,Y,"Erreuluvaaaku, Veruluvaaku","S, G, C","Leaves, young shoots and dried plant are eaten",All stages (Young and dry),12,1
Fabaceae,Rhynchosia suaveolens (L.f.) DC.,P,F,Y,"Erreuluvaaaku, Veruluvaaku","S, G, C","Leaves, young shoots and dried plant are eaten",All stages (Young and dry),12,1
Acanthaceae,Rostellularia obtusa Nees,A,F,Y,,"S, G, C","Leaves, young shoots and dried plant are eaten",All stages (Young and dry),12,1
Poaceae,Sehima nervosa (Rottler) Stapf,A,G,Y,Kondagaddi,"S, G, C",Above ground part,All stages (Young and dry),12,1
Pedaliaceae,Sesamum prostratum Retz.,A,F,Y,Teegaalumu,"S, G",Leaves,When young (July to December),6,2
Rubiaceae,Spermacoce hispida L.,A,F,Y,"Chenumadanakatti, Adavimadanakatti","S, G",Above ground part,When young (June to November),6,2
Rubiaceae,Spermacoce pusilla Wall.,A,F,Y,"Chenumadanakatti, Adavimadanakatti","S, G",Above ground part,When young (June to November),6,2
Asteraceae,Sphaeranthus indicus L.,A,F,N,Boddasoramu,,,,,4
Fabaceae,Stylosanthes scabra Vogel,P,F,Y,,"S, G, C",Leaves and shoots,All stages (Young and dry),12,1
Fabaceae,Tephrosia strigosa (Dalzell) Santapau & Maheshw.,A,F,Y,Teegavempili,"G, C",Leaves and tender shoots,July to September,3,2
Fabaceae,Tephrosia villosa (L.) Pers.,A,F,N,Yempili,,,,,4
Asteraceae,Tricholepis radicans (Roxb.) Wight,A,F,Y,,"S, C",Leaves,When young (July to September/October),4,2
Amaranthaceae,Trichuriella monsoniae (L.f.) Bennet,P,F,Y,,"S, C",Leaves and shoots,When young (July to September/October),4,2
Asteraceae,Tridax procumbens L.,P,F,Y,"Balappakku, Paalakku","S, G, C",Above ground part,June to January/February then dries up and disappears,8,1
Asteraceae,Vicoa indica (L.) DC.,P,F,Y,,"S, G",Leaves and tender shoots,When young (June/July to November/December),7,2
Fabaceae,Vigna aconitifolia (Jacq.) Maréchal,A,F,Y,Alasanduluteega,"S, G, C",Above ground part,June to January/February then dries up and disappears,8,1
Fabaceae,Vigna trilobata (L.) Verdc.,A,F,Y,Alasanduluteega,"S, G, C",Above ground part,June to January/February then dries up and disappears,8,1
Malvaceae,Waltheria indica L.,P,F,Y,"Yarrakateaaku, Nallabenda","S, G, C",Leaves and shoots,June to January/February then dries up and disappears,8,1
Convolvulaceae,Xenostegia tridentata (L.) D.F.Austin & Staples,A,F,Y,,"S, G, C",Above ground part,All stages (Young and dry),12,1
,"FT= Functional type (A= Annual, P= Perennial)
FG= Functional group (F= Forb, G= Graminoid)
P= Palatability (Y= Palatable, N= Unpalatable)
L= Livestock (S= Sheep, G= Goat, C= Cattle)
",,,,,,,,,
